[POST] /session/start -> 200 session=5105fb2b-27a8-4515-b65b-add811a29014
[POST] /play/round day=3 hour=20 -> 200
[POST] /play/round day=3 hour=21 -> 200
[POST] /play/round day=3 hour=22 -> 200
[POST] /play/round day=3 hour=23 -> 200
[POST] /play/round day=4 hour=0 -> 200
[POST] /play/round day=4 hour=1 -> 200
[POST] /play/round day=4 hour=2 -> 200
[POST] /play/round day=4 hour=3 -> 200
[POST] /play/round day=4 hour=4 -> 200
[POST] /play/round day=4 hour=5 -> 200
[POST] /play/round day=4 hour=6 -> 200
[POST] /play/round day=4 hour=7 -> 200
[POST] /play/round day=4 hour=8 -> 200
[POST] /play/round day=4 hour=9 -> 200
[POST] /play/round day=4 hour=10 -> 200
[POST] /play/round day=4 hour=11 -> 200
[POST] /play/round day=4 hour=12 -> 200
[POST] /play/round day=4 hour=13 -> 200
[POST] /play/round day=4 hour=14 -> 200
[POST] /play/round day=4 hour=15 -> 200
[POST] /play/round day=4 hour=16 -> 200
[POST] /play/round day=4 hour=17 -> 200
[POST] /play/round day=4 hour=18 -> 200
[POST] /play/round day=4 hour=19 -> 200
[POST] /play/round day=4 hour=20 -> 200
[POST] /play/round day=4 hour=21 -> 200
[POST] /play/round day=4 hour=22 -> 200
[POST] /play/round day=4 hour=23 -> 200
[POST] /play/round day=5 hour=0 -> 200
[POST] /play/round day=5 hour=1 -> 200
[POST] /play/round day=5 hour=2 -> 200
[POST] /play/round day=5 hour=3 -> 200
[POST] /play/round day=5 hour=4 -> 200
[POST] /play/round day=5 hour=5 -> 200
[POST] /play/round day=5 hour=6 -> 200
[POST] /play/round day=5 hour=7 -> 200
[POST] /play/round day=5 hour=8 -> 200
[POST] /play/round day=5 hour=9 -> 200
[POST] /play/round day=5 hour=10 -> 200
[POST] /play/round day=5 hour=11 -> 200
[POST] /play/round day=5 hour=12 -> 200
[POST] /play/round day=5 hour=13 -> 200
[POST] /play/round day=5 hour=14 -> 200
[POST] /play/round day=5 hour=15 -> 200
[POST] /play/round day=5 hour=16 -> 200
[POST] /play/round day=5 hour=17 -> 200
[POST] /play/round day=5 hour=18 -> 200
[POST] /play/round day=5 hour=19 -> 200
[POST] /play/round day=5 hour=20 -> 200
[POST] /play/round day=5 hour=21 -> 200
[POST] /play/round day=5 hour=22 -> 200
[POST] /play/round day=5 hour=23 -> 200
[POST] /play/round day=6 hour=0 -> 200
[POST] /play/round day=6 hour=1 -> 200
[POST] /play/round day=6 hour=2 -> 200
[POST] /play/round day=6 hour=3 -> 200
[POST] /play/round day=6 hour=4 -> 200
[POST] /play/round day=6 hour=5 -> 200
[POST] /play/round day=6 hour=6 -> 200
[POST] /play/round day=6 hour=7 -> 200
[POST] /play/round day=6 hour=8 -> 200
[POST] /play/round day=6 hour=9 -> 200
[POST] /play/round day=6 hour=10 -> 200
[POST] /play/round day=6 hour=11 -> 200
[POST] /play/round day=6 hour=12 -> 200
[POST] /play/round day=6 hour=13 -> 200
[POST] /play/round day=6 hour=14 -> 200
[POST] /play/round day=6 hour=15 -> 200
[POST] /play/round day=6 hour=16 -> 200
[POST] /play/round day=6 hour=17 -> 200
[POST] /play/round day=6 hour=18 -> 200
[POST] /play/round day=6 hour=19 -> 200
[POST] /play/round day=6 hour=20 -> 200
[POST] /play/round day=6 hour=21 -> 200
[POST] /play/round day=6 hour=22 -> 200
[POST] /play/round day=6 hour=23 -> 200
[POST] /play/round day=7 hour=0 -> 200
[POST] /play/round day=7 hour=1 -> 200
[POST] /play/round day=7 hour=2 -> 200
[POST] /play/round day=7 hour=3 -> 200
[POST] /play/round day=7 hour=4 -> 200
[POST] /play/round day=7 hour=5 -> 200
[POST] /play/round day=7 hour=6 -> 200
[POST] /play/round day=7 hour=7 -> 200
[POST] /play/round day=7 hour=8 -> 200
[POST] /play/round day=7 hour=9 -> 200
[POST] /play/round day=7 hour=10 -> 200
[POST] /play/round day=7 hour=11 -> 200
[POST] /play/round day=7 hour=12 -> 200
[POST] /play/round day=7 hour=13 -> 200
[POST] /play/round day=7 hour=14 -> 200
[POST] /play/round day=7 hour=15 -> 200
[POST] /play/round day=7 hour=16 -> 200
[POST] /play/round day=7 hour=17 -> 200
[POST] /play/round day=7 hour=18 -> 200
[POST] /play/round day=7 hour=19 -> 200
[POST] /play/round day=7 hour=20 -> 200
[POST] /play/round day=7 hour=21 -> 200
[POST] /play/round day=7 hour=22 -> 200
[POST] /play/round day=7 hour=23 -> 200
[POST] /play/round day=8 hour=0 -> 200
[POST] /play/round day=8 hour=1 -> 200
[POST] /play/round day=8 hour=2 -> 200
[POST] /play/round day=8 hour=3 -> 200
[POST] /play/round day=8 hour=4 -> 200
[POST] /play/round day=8 hour=5 -> 200
[POST] /play/round day=8 hour=6 -> 200
[POST] /play/round day=8 hour=7 -> 200
[POST] /play/round day=8 hour=8 -> 200
[POST] /play/round day=8 hour=9 -> 200
[POST] /play/round day=8 hour=10 -> 200
[POST] /play/round day=8 hour=11 -> 200
[POST] /play/round day=8 hour=12 -> 200
[POST] /play/round day=8 hour=13 -> 200
[POST] /play/round day=8 hour=14 -> 200
[POST] /play/round day=8 hour=15 -> 200
[POST] /play/round day=8 hour=16 -> 200
[POST] /play/round day=8 hour=17 -> 200
[POST] /play/round day=8 hour=18 -> 200
[POST] /play/round day=8 hour=19 -> 200
[POST] /play/round day=8 hour=20 -> 200
[POST] /play/round day=8 hour=21 -> 200
[POST] /play/round day=8 hour=22 -> 200
[POST] /play/round day=8 hour=23 -> 200
[POST] /play/round day=9 hour=0 -> 200
[POST] /play/round day=9 hour=1 -> 200
[POST] /play/round day=9 hour=2 -> 200
[POST] /play/round day=9 hour=3 -> 200
[POST] /play/round day=9 hour=4 -> 200
[POST] /play/round day=9 hour=5 -> 200
[POST] /play/round day=9 hour=6 -> 200
[POST] /play/round day=9 hour=7 -> 200
[POST] /play/round day=9 hour=8 -> 200
[POST] /play/round day=9 hour=9 -> 200
[POST] /play/round day=9 hour=10 -> 200
[POST] /play/round day=9 hour=11 -> 200
[POST] /play/round day=9 hour=12 -> 200
[POST] /play/round day=9 hour=13 -> 200
[POST] /play/round day=9 hour=14 -> 200
[POST] /play/round day=9 hour=15 -> 200
[POST] /play/round day=9 hour=16 -> 200
[POST] /play/round day=9 hour=17 -> 200
[POST] /play/round day=9 hour=18 -> 200
[POST] /play/round day=9 hour=19 -> 200
[POST] /play/round day=9 hour=20 -> 200
[POST] /play/round day=9 hour=21 -> 200
[POST] /play/round day=9 hour=22 -> 200
[POST] /play/round day=9 hour=23 -> 200
[POST] /play/round day=10 hour=0 -> 200
[POST] /play/round day=10 hour=1 -> 200
[POST] /play/round day=10 hour=2 -> 200
[POST] /play/round day=10 hour=3 -> 200
[POST] /play/round day=10 hour=4 -> 200
[POST] /play/round day=10 hour=5 -> 200
[POST] /play/round day=10 hour=6 -> 200
[POST] /play/round day=10 hour=7 -> 200
[POST] /play/round day=10 hour=8 -> 200
[POST] /play/round day=10 hour=9 -> 200
[POST] /play/round day=10 hour=10 -> 200
[POST] /play/round day=10 hour=11 -> 200
[POST] /play/round day=10 hour=12 -> 200
[POST] /play/round day=10 hour=13 -> 200
[POST] /play/round day=10 hour=14 -> 200
[POST] /play/round day=10 hour=15 -> 200
[POST] /play/round day=10 hour=16 -> 200
[POST] /play/round day=10 hour=17 -> 200
[POST] /play/round day=10 hour=18 -> 200
[POST] /play/round day=10 hour=19 -> 200
[POST] /play/round day=10 hour=20 -> 200
[POST] /play/round day=10 hour=21 -> 200
[POST] /play/round day=10 hour=22 -> 200
[POST] /play/round day=10 hour=23 -> 200
[POST] /play/round day=11 hour=0 -> 200
[POST] /play/round day=11 hour=1 -> 200
[POST] /play/round day=11 hour=2 -> 200
[POST] /play/round day=11 hour=3 -> 200
[POST] /play/round day=11 hour=4 -> 200
[POST] /play/round day=11 hour=5 -> 200
[POST] /play/round day=11 hour=6 -> 200
[POST] /play/round day=11 hour=7 -> 200
[POST] /play/round day=11 hour=8 -> 200
[POST] /play/round day=11 hour=9 -> 200
[POST] /play/round day=11 hour=10 -> 200
[POST] /play/round day=11 hour=11 -> 200
[POST] /play/round day=11 hour=12 -> 200
[POST] /play/round day=11 hour=13 -> 200
[POST] /play/round day=11 hour=14 -> 200
[POST] /play/round day=11 hour=15 -> 200
[POST] /play/round day=11 hour=16 -> 200
[POST] /play/round day=11 hour=17 -> 200
[POST] /play/round day=11 hour=18 -> 200
[POST] /play/round day=11 hour=19 -> 200
[POST] /play/round day=11 hour=20 -> 200
[POST] /play/round day=11 hour=21 -> 200
[POST] /play/round day=11 hour=22 -> 200
[POST] /play/round day=11 hour=23 -> 200
[POST] /play/round day=12 hour=0 -> 200
[POST] /play/round day=12 hour=1 -> 200
[POST] /play/round day=12 hour=2 -> 200
[POST] /play/round day=12 hour=3 -> 200
[POST] /play/round day=12 hour=4 -> 200
[POST] /play/round day=12 hour=5 -> 200
[POST] /play/round day=12 hour=6 -> 200
[POST] /play/round day=12 hour=7 -> 200
[POST] /play/round day=12 hour=8 -> 200
[POST] /play/round day=12 hour=9 -> 200
[POST] /play/round day=12 hour=10 -> 200
[POST] /play/round day=12 hour=11 -> 200
[POST] /play/round day=12 hour=12 -> 200
[POST] /play/round day=12 hour=13 -> 200
[POST] /play/round day=12 hour=14 -> 200
[POST] /play/round day=12 hour=15 -> 200
[POST] /play/round day=12 hour=16 -> 200
[POST] /play/round day=12 hour=17 -> 200
[POST] /play/round day=12 hour=18 -> 200
[POST] /play/round day=12 hour=19 -> 200
[POST] /play/round day=12 hour=20 -> 200
[POST] /play/round day=12 hour=21 -> 200
[POST] /play/round day=12 hour=22 -> 200
[POST] /play/round day=12 hour=23 -> 200
[POST] /play/round day=13 hour=0 -> 200
[POST] /play/round day=13 hour=1 -> 200
[POST] /play/round day=13 hour=2 -> 200
[POST] /play/round day=13 hour=3 -> 200
[POST] /play/round day=13 hour=4 -> 200
[POST] /play/round day=13 hour=5 -> 200
[POST] /play/round day=13 hour=6 -> 200
[POST] /play/round day=13 hour=7 -> 200
[POST] /play/round day=13 hour=8 -> 200
[POST] /play/round day=13 hour=9 -> 200
[POST] /play/round day=13 hour=10 -> 200
[POST] /play/round day=13 hour=11 -> 200
[POST] /play/round day=13 hour=12 -> 200
[POST] /play/round day=13 hour=13 -> 200
[POST] /play/round day=13 hour=14 -> 200
[POST] /play/round day=13 hour=15 -> 200
[POST] /play/round day=13 hour=16 -> 200
[POST] /play/round day=13 hour=17 -> 200
[POST] /play/round day=13 hour=18 -> 200
[POST] /play/round day=13 hour=19 -> 200
[POST] /play/round day=13 hour=20 -> 200
[POST] /play/round day=13 hour=21 -> 200
[POST] /play/round day=13 hour=22 -> 200
[POST] /play/round day=13 hour=23 -> 200
[POST] /play/round day=14 hour=0 -> 200
[POST] /play/round day=14 hour=1 -> 200
[POST] /play/round day=14 hour=2 -> 200
[POST] /play/round day=14 hour=3 -> 200
[POST] /play/round day=14 hour=4 -> 200
[POST] /play/round day=14 hour=5 -> 200
[POST] /play/round day=14 hour=6 -> 200
[POST] /play/round day=14 hour=7 -> 200
[POST] /play/round day=14 hour=8 -> 200
[POST] /play/round day=14 hour=9 -> 200
[POST] /play/round day=14 hour=10 -> 200
[POST] /play/round day=14 hour=11 -> 200
[POST] /play/round day=14 hour=12 -> 200
[POST] /play/round day=14 hour=13 -> 200
[POST] /play/round day=14 hour=14 -> 200
[POST] /play/round day=14 hour=15 -> 200
[POST] /play/round day=14 hour=16 -> 200
[POST] /play/round day=14 hour=17 -> 200
[POST] /play/round day=14 hour=18 -> 200
[POST] /play/round day=14 hour=19 -> 200
[POST] /play/round day=14 hour=20 -> 200
[POST] /play/round day=14 hour=21 -> 200
[POST] /play/round day=14 hour=22 -> 200
[POST] /play/round day=14 hour=23 -> 200
[POST] /play/round day=15 hour=0 -> 200
[POST] /play/round day=15 hour=1 -> 200
[POST] /play/round day=15 hour=2 -> 200
[POST] /play/round day=15 hour=3 -> 200
[POST] /play/round day=15 hour=4 -> 200
[POST] /play/round day=15 hour=5 -> 200
[POST] /play/round day=15 hour=6 -> 200
[POST] /play/round day=15 hour=7 -> 200
[POST] /play/round day=15 hour=8 -> 200
[POST] /play/round day=15 hour=9 -> 200
[POST] /play/round day=15 hour=10 -> 200
[POST] /play/round day=15 hour=11 -> 200
[POST] /play/round day=15 hour=12 -> 200
[POST] /play/round day=15 hour=13 -> 200
[POST] /play/round day=15 hour=14 -> 200
[POST] /play/round day=15 hour=15 -> 200
[POST] /play/round day=15 hour=16 -> 200
[POST] /play/round day=15 hour=17 -> 200
[POST] /play/round day=15 hour=18 -> 200
[POST] /play/round day=15 hour=19 -> 200
[POST] /play/round day=15 hour=20 -> 200
[POST] /play/round day=15 hour=21 -> 200
[POST] /play/round day=15 hour=22 -> 200
[POST] /play/round day=15 hour=23 -> 200
[POST] /play/round day=16 hour=0 -> 200
[POST] /play/round day=16 hour=1 -> 200
[POST] /play/round day=16 hour=2 -> 200
[POST] /play/round day=16 hour=3 -> 200
[POST] /play/round day=16 hour=4 -> 200
[POST] /play/round day=16 hour=5 -> 200
[POST] /play/round day=16 hour=6 -> 200
[POST] /play/round day=16 hour=7 -> 200
[POST] /play/round day=16 hour=8 -> 200
[POST] /play/round day=16 hour=9 -> 200
[POST] /play/round day=16 hour=10 -> 200
[POST] /play/round day=16 hour=11 -> 200
[POST] /play/round day=16 hour=12 -> 200
[POST] /play/round day=16 hour=13 -> 200
[POST] /play/round day=16 hour=14 -> 200
[POST] /play/round day=16 hour=15 -> 200
[POST] /play/round day=16 hour=16 -> 200
[POST] /play/round day=16 hour=17 -> 200
[POST] /play/round day=16 hour=18 -> 200
[POST] /play/round day=16 hour=19 -> 200
[POST] /play/round day=16 hour=20 -> 200
[POST] /play/round day=16 hour=21 -> 200
[POST] /play/round day=16 hour=22 -> 200
[POST] /play/round day=16 hour=23 -> 200
[POST] /play/round day=17 hour=0 -> 200
[POST] /play/round day=17 hour=1 -> 200
[POST] /play/round day=17 hour=2 -> 200
[POST] /play/round day=17 hour=3 -> 200
[POST] /play/round day=17 hour=4 -> 200
[POST] /play/round day=17 hour=5 -> 200
[POST] /play/round day=17 hour=6 -> 200
[POST] /play/round day=17 hour=7 -> 200
[POST] /play/round day=17 hour=8 -> 200
[POST] /play/round day=17 hour=9 -> 200
[POST] /play/round day=17 hour=10 -> 200
[POST] /play/round day=17 hour=11 -> 200
[POST] /play/round day=17 hour=12 -> 200
[POST] /play/round day=17 hour=13 -> 200
[POST] /play/round day=17 hour=14 -> 200
[POST] /play/round day=17 hour=15 -> 200
[POST] /play/round day=17 hour=16 -> 200
[POST] /play/round day=17 hour=17 -> 200
[POST] /play/round day=17 hour=18 -> 200
[POST] /play/round day=17 hour=19 -> 200
[POST] /play/round day=17 hour=20 -> 200
[POST] /play/round day=17 hour=21 -> 200
[POST] /play/round day=17 hour=22 -> 200
[POST] /play/round day=17 hour=23 -> 200
[POST] /play/round day=18 hour=0 -> 200
[POST] /play/round day=18 hour=1 -> 200
[POST] /play/round day=18 hour=2 -> 200
[POST] /play/round day=18 hour=3 -> 200
[POST] /play/round day=18 hour=4 -> 200
[POST] /play/round day=18 hour=5 -> 200
[POST] /play/round day=18 hour=6 -> 200
[POST] /play/round day=18 hour=7 -> 200
[POST] /play/round day=18 hour=8 -> 200
[POST] /play/round day=18 hour=9 -> 200
[POST] /play/round day=18 hour=10 -> 200
[POST] /play/round day=18 hour=11 -> 200
[POST] /play/round day=18 hour=12 -> 200
[POST] /play/round day=18 hour=13 -> 200
[POST] /play/round day=18 hour=14 -> 200
[POST] /play/round day=18 hour=15 -> 200
[POST] /play/round day=18 hour=16 -> 200
[POST] /play/round day=18 hour=17 -> 200
[POST] /play/round day=18 hour=18 -> 200
[POST] /play/round day=18 hour=19 -> 200
[POST] /play/round day=18 hour=20 -> 200
[POST] /play/round day=18 hour=21 -> 200
[POST] /play/round day=18 hour=22 -> 200
[POST] /play/round day=18 hour=23 -> 200
[POST] /play/round day=19 hour=0 -> 200
[POST] /play/round day=19 hour=1 -> 200
[POST] /play/round day=19 hour=2 -> 200
[POST] /play/round day=19 hour=3 -> 200
[POST] /play/round day=19 hour=4 -> 200
[POST] /play/round day=19 hour=5 -> 200
[POST] /play/round day=19 hour=6 -> 200
[POST] /play/round day=19 hour=7 -> 200
[POST] /play/round day=19 hour=8 -> 200
[POST] /play/round day=19 hour=9 -> 200
[POST] /play/round day=19 hour=10 -> 200
[POST] /play/round day=19 hour=11 -> 200
[POST] /play/round day=19 hour=12 -> 200
[POST] /play/round day=19 hour=13 -> 200
[POST] /play/round day=19 hour=14 -> 200
[POST] /play/round day=19 hour=15 -> 200
[POST] /play/round day=19 hour=16 -> 200
[POST] /play/round day=19 hour=17 -> 200
[POST] /play/round day=19 hour=18 -> 200
[POST] /play/round day=19 hour=19 -> 200
[POST] /play/round day=19 hour=20 -> 200
[POST] /play/round day=19 hour=21 -> 200
[POST] /play/round day=19 hour=22 -> 200
[POST] /play/round day=19 hour=23 -> 200
[POST] /play/round day=20 hour=0 -> 200
[POST] /play/round day=20 hour=1 -> 200
[POST] /play/round day=20 hour=2 -> 200
[POST] /play/round day=20 hour=3 -> 200
[POST] /play/round day=20 hour=4 -> 200
[POST] /play/round day=20 hour=5 -> 200
[POST] /play/round day=20 hour=6 -> 200
[POST] /play/round day=20 hour=7 -> 200
[POST] /play/round day=20 hour=8 -> 200
[POST] /play/round day=20 hour=9 -> 200
[POST] /play/round day=20 hour=10 -> 200
[POST] /play/round day=20 hour=11 -> 200
[POST] /play/round day=20 hour=12 -> 200
[POST] /play/round day=20 hour=13 -> 200
[POST] /play/round day=20 hour=14 -> 200
[POST] /play/round day=20 hour=15 -> 200
[POST] /play/round day=20 hour=16 -> 200
[POST] /play/round day=20 hour=17 -> 200
[POST] /play/round day=20 hour=18 -> 200
[POST] /play/round day=20 hour=19 -> 200
[POST] /play/round day=20 hour=20 -> 200
[POST] /play/round day=20 hour=21 -> 200
[POST] /play/round day=20 hour=22 -> 200
[POST] /play/round day=20 hour=23 -> 200
[POST] /play/round day=21 hour=0 -> 200
[POST] /play/round day=21 hour=1 -> 200
[POST] /play/round day=21 hour=2 -> 200
[POST] /play/round day=21 hour=3 -> 200
[POST] /play/round day=21 hour=4 -> 200
[POST] /play/round day=21 hour=5 -> 200
[POST] /play/round day=21 hour=6 -> 200
[POST] /play/round day=21 hour=7 -> 200
[POST] /play/round day=21 hour=8 -> 200
[POST] /play/round day=21 hour=9 -> 200
[POST] /play/round day=21 hour=10 -> 200
[POST] /play/round day=21 hour=11 -> 200
[POST] /play/round day=21 hour=12 -> 200
[POST] /play/round day=21 hour=13 -> 200
[POST] /play/round day=21 hour=14 -> 200
[POST] /play/round day=21 hour=15 -> 200
[POST] /play/round day=21 hour=16 -> 200
[POST] /play/round day=21 hour=17 -> 200
[POST] /play/round day=21 hour=18 -> 200
[POST] /play/round day=21 hour=19 -> 200
[POST] /play/round day=21 hour=20 -> 200
[POST] /play/round day=21 hour=21 -> 200
[POST] /play/round day=21 hour=22 -> 200
[POST] /play/round day=21 hour=23 -> 200
[POST] /play/round day=22 hour=0 -> 200
[POST] /play/round day=22 hour=1 -> 200
[POST] /play/round day=22 hour=2 -> 200
[POST] /play/round day=22 hour=3 -> 200
[POST] /play/round day=22 hour=4 -> 200
[POST] /play/round day=22 hour=5 -> 200
[POST] /play/round day=22 hour=6 -> 200
[POST] /play/round day=22 hour=7 -> 200
[POST] /play/round day=22 hour=8 -> 200
[POST] /play/round day=22 hour=9 -> 200
[POST] /play/round day=22 hour=10 -> 200
[POST] /play/round day=22 hour=11 -> 200
[POST] /play/round day=22 hour=12 -> 200
[POST] /play/round day=22 hour=13 -> 200
[POST] /play/round day=22 hour=14 -> 200
[POST] /play/round day=22 hour=15 -> 200
[POST] /play/round day=22 hour=16 -> 200
[POST] /play/round day=22 hour=17 -> 200
[POST] /play/round day=22 hour=18 -> 200
[POST] /play/round day=22 hour=19 -> 200
[POST] /play/round day=22 hour=20 -> 200
[POST] /play/round day=22 hour=21 -> 200
[POST] /play/round day=22 hour=22 -> 200
[POST] /play/round day=22 hour=23 -> 200
[POST] /play/round day=23 hour=0 -> 200
[POST] /play/round day=23 hour=1 -> 200
[POST] /play/round day=23 hour=2 -> 200
[POST] /play/round day=23 hour=3 -> 200
[POST] /play/round day=23 hour=4 -> 200
[POST] /play/round day=23 hour=5 -> 200
[POST] /play/round day=23 hour=6 -> 200
[POST] /play/round day=23 hour=7 -> 200
[POST] /play/round day=23 hour=8 -> 200
[POST] /play/round day=23 hour=9 -> 200
[POST] /play/round day=23 hour=10 -> 200
[POST] /play/round day=23 hour=11 -> 200
[POST] /play/round day=23 hour=12 -> 200
[POST] /play/round day=23 hour=13 -> 200
[POST] /play/round day=23 hour=14 -> 200
[POST] /play/round day=23 hour=15 -> 200
[POST] /play/round day=23 hour=16 -> 200
[POST] /play/round day=23 hour=17 -> 200
[POST] /play/round day=23 hour=18 -> 200
[POST] /play/round day=23 hour=19 -> 200
[POST] /play/round day=23 hour=20 -> 200
[POST] /play/round day=23 hour=21 -> 200
[POST] /play/round day=23 hour=22 -> 200
[POST] /play/round day=23 hour=23 -> 200
[POST] /play/round day=24 hour=0 -> 200
[POST] /play/round day=24 hour=1 -> 200
[POST] /play/round day=24 hour=2 -> 200
[POST] /play/round day=24 hour=3 -> 200
[POST] /play/round day=24 hour=4 -> 200
[POST] /play/round day=24 hour=5 -> 200
[POST] /play/round day=24 hour=6 -> 200
[POST] /play/round day=24 hour=7 -> 200
[POST] /play/round day=24 hour=8 -> 200
[POST] /play/round day=24 hour=9 -> 200
[POST] /play/round day=24 hour=10 -> 200
[POST] /play/round day=24 hour=11 -> 200
[POST] /play/round day=24 hour=12 -> 200
[POST] /play/round day=24 hour=13 -> 200
[POST] /play/round day=24 hour=14 -> 200
[POST] /play/round day=24 hour=15 -> 200
[POST] /play/round day=24 hour=16 -> 200
[POST] /play/round day=24 hour=17 -> 200
[POST] /play/round day=24 hour=18 -> 200
[POST] /play/round day=24 hour=19 -> 200
[POST] /play/round day=24 hour=20 -> 200
[POST] /play/round day=24 hour=21 -> 200
[POST] /play/round day=24 hour=22 -> 200
[POST] /play/round day=24 hour=23 -> 200
[POST] /play/round day=25 hour=0 -> 200
[POST] /play/round day=25 hour=1 -> 200
[POST] /play/round day=25 hour=2 -> 200
[POST] /play/round day=25 hour=3 -> 200
[POST] /play/round day=25 hour=4 -> 200
[POST] /play/round day=25 hour=5 -> 200
[POST] /play/round day=25 hour=6 -> 200
[POST] /play/round day=25 hour=7 -> 200
[POST] /play/round day=25 hour=8 -> 200
[POST] /play/round day=25 hour=9 -> 200
[POST] /play/round day=25 hour=10 -> 200
[POST] /play/round day=25 hour=11 -> 200
[POST] /play/round day=25 hour=12 -> 200
[POST] /play/round day=25 hour=13 -> 200
[POST] /play/round day=25 hour=14 -> 200
[POST] /play/round day=25 hour=15 -> 200
[POST] /play/round day=25 hour=16 -> 200
[POST] /play/round day=25 hour=17 -> 200
[POST] /play/round day=25 hour=18 -> 200
[POST] /play/round day=25 hour=19 -> 200
[POST] /play/round day=25 hour=20 -> 200
[POST] /play/round day=25 hour=21 -> 200
[POST] /play/round day=25 hour=22 -> 200
[POST] /play/round day=25 hour=23 -> 200
[POST] /play/round day=26 hour=0 -> 200
[POST] /play/round day=26 hour=1 -> 200
[POST] /play/round day=26 hour=2 -> 200
[POST] /play/round day=26 hour=3 -> 200
[POST] /play/round day=26 hour=4 -> 200
[POST] /play/round day=26 hour=5 -> 200
[POST] /play/round day=26 hour=6 -> 200
[POST] /play/round day=26 hour=7 -> 200
